Iteration,x_0,x_1,x_2,x_3,Error_x0,Error_x1,Error_x2,Error_x3
0,0.6,0.625,0.5,1.75,0.6,0.625,0.5,1.75
1,0.0125,2.0125,-4.91875,2.65625,0.5875,1.3875000000000002,5.41875,0.90625
2,2.1562500000000004,1.34765625,-7.3171875,3.803125,2.1437500000000003,0.6648437500000002,2.3984375,1.146875
3,1.8369531250000002,3.2291015625000004,-11.9126953125,-1.5716796875000005,0.31929687500000026,1.8814453125000004,4.5955078125,5.374804687500001
4,7.220019531250001,-0.27221191406250034,2.637128906250001,0.762939453125,5.383066406250001,3.5013134765625007,14.54982421875,2.3346191406250005
5,-0.7631567382812505,6.75112548828125,-6.945045166015626,-6.568936767578126,7.983176269531252,7.023337402343751,9.582174072265627,7.331876220703126
6,10.693769775390626,-4.099966583251954,17.449162292480473,14.421455688476563,11.456926513671876,10.851092071533204,24.394207458496098,20.99039245605469
7,-14.715453140258791,18.03720046234131,-46.154338829040526,-12.117555885314943,25.409222915649416,22.137167045593266,63.603501121521,26.539011573791505
8,33.13111991500855,-22.23966015148163,40.35056842422486,37.65084805107117,47.84657305526734,40.27686061382294,86.50490725326539,49.768403936386115
9,-45.89835665884018,49.3425850148201,-122.32825703883172,-69.52785102248193,79.02947657384873,71.58224516630173,162.67882546305657,107.1786990735531
10,106.60221213326454,-83.85372513522506,213.7897115522504,108.97963358747958,152.50056879210473,133.19631015004518,336.1179685910821,178.50748460996152
11,-176.72433785407242,161.7901898377195,-358.18222018171105,-213.27879094471183,283.326549987337,245.64391497294457,571.9719317339615,322.2584245321914
12,327.9471944132729,-283.3304263856241,679.1123810290819,407.5922393616039,504.6715322673453,445.12061622334363,1037.294601210793,620.8710303063158
13,-605.2611324594634,535.2705631193919,-1295.5064474579592,-706.1212618697043,933.2083268727363,818.6009895050161,1974.6188284870411,1113.7135012313083
14,1117.0019593558143,-968.3197862116947,2262.4616787064365,1314.9319588639814,1722.2630918152777,1503.5903493310866,3557.9681261643955,2021.0532207336857
15,-2013.4283333921078,1778.650158787156,-4211.234409839886,-2441.991128817863,3130.430292747922,2746.9699449988507,6473.696088546323,3756.923087681844
16,3730.0209985119063,-3256.846115682998,7781.384314596415,4414.881069091292,5743.449331904014,5035.496274470154,11992.6187244363,6856.872197909155
17,-6821.048109902668,5978.254322754127,-14123.727159964234,-8097.987851128421,10551.069108414575,9235.100438437126,21905.111474560646,12512.868920219713
18,12471.490099481369,-10929.62090298674,25891.18909234163,14917.268783593005,19292.538209384038,16907.875225740867,40014.91625230586,23015.256634721427
19,-22876.12575158971,20049.275602950234,-47643.201503745106,-27233.665109901067,35347.61585107108,30978.896505936973,73534.39059608674,42150.933893494075
20,41944.88592813923,-36728.70205661095,87037.85446518265,49886.17654425261,64821.01167972894,56777.977659561184,134681.05596892774,77119.84165415367
21,-76763.93605130876,67282.10952637855,-159462.97442864638,-91550.00980495737,118708.821979448,104010.8115829895,246500.82889382902,141436.18634920998
22,140711.97389953758,-123280.20374454105,292515.45162051974,167609.9292841645,217475.90995084634,190562.3132709196,451978.4260491661,259159.93908912188
23,-257855.14274941693,225904.0015193004,-535640.7350199703,-307010.94998937944,398567.1166489545,349184.20526384143,828156.1866404901,474620.87927354395
24,472331.0965641911,-413851.29893424874,981195.969153031,562784.314345212,730186.239313608,639755.3004535491,1516836.7041730015,869795.2643345913
25,-865446.2571724893,758290.6007398781,-1798441.862138914,-1030979.558730783,1337777.3537366805,1172141.8996741269,2779637.8312919447,1593763.8730759951
26,1585826.3585249805,-1389379.0800121226,3294706.329204051,1888742.4920608802,2451272.6156974696,2147669.680752001,5093148.191342965,2919722.050791663
27,-2905347.9008001415,2545579.9310746817,-6036066.352058125,-3461030.9635814754,4491174.259325122,3934959.0110868043,9330772.681262176,5349773.455642356
28,5323241.939160453,-4664034.076398109,11060451.592680493,6341208.29488915,8228589.839960595,7209614.007472791,17096517.94473862,9802239.258470625
29,-9753562.8787274,8545592.675899977,-20264745.246215977,-11617901.549506065,15076804.817887854,13209626.752298087,31325196.83889647,17959109.844395213
30,17870289.82174781,-15657215.464575581,37128003.75121223,21287166.24607621,27623852.70047521,24202808.140475556,57392748.99742821,32905067.795582276
31,-32742034.47360468,28687301.583250493,-68028120.17687654,-39002593.44687371,50612324.29535249,44344517.047826074,105156123.92808878,60289759.69294992
32,59990844.48477516,-52561336.97574993,124641832.93829358,71459913.3158812,92732878.95837983,81248638.55900043,192669953.11517012,110462506.7627549
33,-109915441.82245362,96303319.76380867,-228367560.23831716,-130930645.5822595,169906286.30722877,148864656.7395586,353009393.1766107,202390558.8981407
34,201387915.29729098,-176447848.5627596,418420027.2771017,239892993.37747794,311303357.1197446,272751168.32656825,646787587.5154189,370823638.9597374
35,-368985998.2658012,323289937.1963449,-766634705.6203427,-439532537.999272,570373913.5630922,499737785.7591045,1185054732.8974445,679425531.37675
36,676059637.3231803,-592335105.2765298,1404631494.3982627,805317505.4638562,1045045635.5889815,915625042.4728746,2171266200.018605,1244850043.463128
37,-1238682774.1449778,1085282418.1490963,-2573584091.1988573,-1475512784.577036,1914742411.4681582,1677617523.425626,3978215585.5971203,2280830290.040892
